Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
1/1/2016,0,$0.00,30,0,0,0,0,,
1/2/2016,1,$0.00,30,0,0,0,1,,
1/3/2016,0,$0.00,30,0,0,0,0,,
1/4/2016,1,$0.00,30,0,0,0,1,,
1/5/2016,0,$0.00,30,0,0,0,0,,
1/6/2016,1,$0.00,30,0,0,0,1,,
1/7/2016,0,$0.00,30,0,0,0,0,,
1/8/2016,1,$0.00,30,0,0,0,1,,
1/9/2016,3,$0.00,30,0,0,0,1,,
1/10/2016,0,$0.00,30,0,0,0,0,,
1/11/2016,1,$0.00,30,0,0,0,2,,
1/12/2016,0,$0.00,30,0,0,0,0,,
1/13/2016,0,$0.00,30,0,0,0,0,,
1/14/2016,0,$0.00,30,0,0,0,0,,
1/15/2016,0,$0.00,30,0,0,0,0,,
1/16/2016,1,$0.00,30,0,0,0,1,,
1/17/2016,0,$0.00,30,0,0,0,0,,
1/18/2016,0,$0.00,30,0,0,0,0,,
1/19/2016,0,$0.00,30,0,0,0,0,,
1/20/2016,2,$0.00,31,0,1,0,3,,
1/21/2016,2,$0.00,32,0,1,0,5,,
1/22/2016,1,$0.00,32,0,0,0,8,,
1/23/2016,0,$0.00,32,0,0,0,5,,
1/24/2016,0,$0.00,32,0,0,0,6,,
1/25/2016,0,$0.00,32,0,0,0,2,,
1/26/2016,0,$0.00,32,0,0,0,2,,
1/27/2016,2,$0.00,32,0,0,0,3,,
1/28/2016,0,$0.00,32,0,0,0,2,,
1/29/2016,0,$0.00,32,0,0,0,2,,
1/30/2016,0,$0.00,32,0,0,0,0,,
1/31/2016,0,$0.00,32,0,0,0,3,,
2/1/2016,0,$0.00,32,0,0,0,1,,
2/2/2016,0,$0.00,32,0,0,0,1,,
2/3/2016,0,$0.00,32,0,0,0,0,,
2/4/2016,0,$0.00,32,0,0,0,0,,
2/5/2016,4,$0.00,32,0,0,0,2,,
2/6/2016,2,$0.00,32,0,0,0,1,,
2/7/2016,0,$0.00,32,0,0,0,0,,
2/8/2016,0,$0.00,32,0,0,0,0,,
2/9/2016,2,$0.00,32,0,0,0,1,,
2/10/2016,0,$0.00,32,0,0,0,0,,
2/11/2016,0,$0.00,32,0,0,0,0,,
2/12/2016,0,$0.00,32,0,0,0,0,,
2/13/2016,2,$0.00,32,0,0,0,3,,
2/14/2016,0,$0.00,32,0,0,0,0,,
2/15/2016,0,$0.00,32,0,0,0,0,,
2/16/2016,0,$0.00,32,0,0,0,0,,
2/17/2016,0,$0.00,32,0,0,0,0,,
2/18/2016,0,$0.00,32,0,0,0,0,,
2/19/2016,2,$0.00,33,0,1,0,0,,
2/20/2016,1,$0.00,33,0,0,0,1,,
2/21/2016,0,$0.00,33,0,0,0,0,,
2/22/2016,2,$0.00,33,0,0,0,1,,
2/23/2016,1,$0.00,33,0,0,0,1,,
2/24/2016,0,$0.00,33,0,0,0,0,,
2/25/2016,0,$0.00,33,0,0,0,0,,
2/26/2016,2,$0.00,33,0,0,0,2,,
2/27/2016,0,$0.00,33,0,0,0,0,,
2/28/2016,0,$0.00,33,0,0,0,0,,
2/29/2016,0,$0.00,33,0,0,0,0,,
3/1/2016,0,$0.00,33,0,0,0,0,,
3/2/2016,0,$0.00,33,0,0,0,0,,
3/3/2016,1,$0.00,33,0,0,0,1,,
3/4/2016,0,$0.00,33,0,0,0,0,,
3/5/2016,1,$0.00,33,0,0,0,1,,
3/6/2016,1,$0.00,33,0,0,0,2,,
3/7/2016,0,$0.00,33,0,0,0,0,,
3/8/2016,0,$0.00,33,0,0,0,0,,
3/9/2016,3,$0.00,33,0,0,0,3,,
3/10/2016,0,$0.00,33,0,0,0,0,,
3/11/2016,0,$0.00,33,0,0,0,0,,
3/12/2016,0,$0.00,33,0,0,0,0,,
3/13/2016,0,$0.00,33,0,0,0,0,,
3/14/2016,0,$0.00,33,0,0,0,0,,
3/15/2016,0,$0.00,33,0,0,0,0,,
3/16/2016,1,$0.00,33,0,0,0,1,,
3/17/2016,1,$0.00,33,0,0,0,1,,
3/18/2016,0,$0.00,33,0,0,0,0,,
3/19/2016,0,$0.00,33,0,0,0,0,,
3/20/2016,0,$0.00,33,0,0,0,0,,
3/21/2016,0,$0.00,33,0,0,0,0,,
3/22/2016,5,$0.00,33,0,0,0,4,,
3/23/2016,1,$0.00,33,0,1,0,2,,
3/24/2016,0,$0.00,33,0,0,0,0,,
3/25/2016,0,$0.00,33,0,0,0,0,,
3/26/2016,0,$0.00,33,0,0,0,0,,
3/27/2016,4,$0.00,33,0,0,0,2,,
3/28/2016,0,$0.00,33,0,0,0,0,,
3/29/2016,0,$0.00,33,0,0,0,0,,
3/30/2016,0,$0.00,33,0,0,0,0,,
3/31/2016,0,$0.00,33,0,0,0,1,,
4/1/2016,0,$0.00,33,0,0,0,0,,
4/2/2016,0,$0.00,33,0,0,0,0,,
4/3/2016,0,$0.00,33,0,0,0,0,,
4/4/2016,1,$0.00,33,0,0,0,1,,
4/5/2016,0,$0.00,33,0,0,0,0,,
4/6/2016,0,$0.00,33,0,0,0,0,,
4/7/2016,0,$0.00,33,0,0,0,1,,
4/8/2016,0,$0.00,33,0,0,0,0,,
4/9/2016,0,$0.00,33,0,0,0,0,,
4/10/2016,0,$0.00,33,0,0,0,0,,
4/11/2016,4,$0.00,33,0,0,0,0,,
4/12/2016,1,$0.00,34,0,1,0,1,,
4/13/2016,1,$0.00,34,0,0,0,1,,
4/14/2016,1,$0.00,34,0,0,0,1,,
4/15/2016,0,$0.00,34,0,0,0,1,,
4/16/2016,2,$0.00,34,0,0,0,1,,
4/17/2016,0,$0.00,34,0,0,0,0,,
4/18/2016,2,$0.00,34,0,0,0,1,,
4/19/2016,1,$0.00,34,0,0,0,1,,
4/20/2016,0,$0.00,34,0,0,0,1,,
4/21/2016,1,$0.00,34,0,0,0,5,,
4/22/2016,0,$0.00,34,0,0,0,1,,
4/23/2016,1,$0.00,34,0,0,0,1,,
4/24/2016,0,$0.00,34,0,0,0,0,,
4/25/2016,1,$0.00,34,0,0,0,1,,
4/26/2016,1,$0.00,34,0,0,0,2,,
4/27/2016,3,$0.00,34,0,0,0,3,,
4/28/2016,0,$0.00,34,0,0,0,0,,
4/29/2016,0,$0.00,34,0,0,0,0,,
4/30/2016,0,$0.00,34,0,0,0,0,,
5/1/2016,1,$0.00,34,0,0,0,1,,
5/2/2016,0,$0.00,34,0,0,0,0,,
5/3/2016,0,$0.00,34,0,0,0,0,,
5/4/2016,0,$0.00,34,0,0,0,0,,
5/5/2016,0,$0.00,34,0,0,0,0,,
5/6/2016,0,$0.00,34,0,0,0,0,,
5/7/2016,0,$0.00,34,0,0,0,0,,
5/8/2016,0,$0.00,34,0,0,0,0,,
5/9/2016,0,$0.00,34,0,0,0,0,,
5/10/2016,0,$0.00,34,0,0,0,0,,
5/11/2016,0,$0.00,34,0,0,0,1,,
5/12/2016,0,$0.00,34,0,0,0,0,,
5/13/2016,1,$0.00,34,0,0,0,1,,
5/14/2016,0,$0.00,34,0,0,0,0,,
5/15/2016,0,$0.00,34,0,0,0,0,,
5/16/2016,1,$0.00,34,0,0,0,1,,
5/17/2016,3,$0.00,34,0,0,0,3,,
5/18/2016,0,$0.00,34,0,0,0,0,,
